Measure Mode: wall_time
Thread ID: 12622220
Fiber ID: 15567800
Total: 123.037951
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.044     0.044     0.000     0.000    19112   Symbol#to_s
  0.02      0.031     0.031     0.000     0.000    16068   Kernel#instance_variable_set
  0.02      0.304     0.026     0.000     0.278     6730  *Array#each
  0.02      0.039     0.025     0.000     0.013    12201   Kernel#initialize_dup
  0.02      0.059     0.021     0.000     0.038    12125   Kernel#dup
  0.02      0.067     0.019     0.000     0.048      436  *Module#module_eval
  0.01      0.011     0.010     0.000     0.001      150   Module#class_eval
  0.01      0.340     0.010     0.000     0.330     5898  *Class#new
  0.01      0.009     0.009     0.000     0.000     6358   Symbol#to_sym
  0.01      0.008     0.008     0.000     0.000    10700   Gem::Specification#default_value
  0.01    123.014     0.008     0.000   123.006      601  *Kernel#require
  0.01      0.007     0.007     0.000     0.000      415   String#=~
  0.01      0.007     0.007     0.000     0.000     7083   Array#initialize_copy
  0.00      0.006     0.006     0.000     0.000       29   GLI::AppSupport#subcommand_option_handling_strategy
  0.00      0.011     0.006     0.000     0.005       12   OptionParser#on
  0.00      0.005     0.005     0.000     0.000      622   IO#set_encoding
  0.00      0.005     0.005     0.000     0.000     1762   String#gsub
  0.00      0.004     0.004     0.000     0.000     2937   Module#method_added
  0.00      0.017     0.004     0.000     0.012     1414   Array#map
  0.00      0.004     0.004     0.000     0.000     3116   String#initialize_copy
  0.00      0.004     0.004     0.000     0.000     3413   BinData::DSLMixin::DSLParser#parser_abilities
  0.00      0.004     0.004     0.000     0.000      973   String#sub
  0.00      0.015     0.004     0.000     0.012     1704  *Hash#each
  0.00      0.004     0.004     0.000     0.000     1597   Regexp#=~
  0.00      0.004     0.004     0.000     0.000     4969   Kernel#hash
  0.00      0.018     0.004     0.000     0.015      857   BinData::Registry#underscore_name
  0.00      0.011     0.004     0.000     0.008     2973   BinData::DSLMixin::DSLParser#option?
  0.00      0.003     0.003     0.000     0.000     4460   Array#include?
  0.00      0.007     0.003     0.000     0.004     2281  *BinData::DSLMixin::DSLParser#endian
  0.00      0.004     0.003     0.000     0.000      292   Kernel#define_singleton_method
  0.00      0.003     0.003     0.000     0.000      901   String#downcase
  0.00      0.003     0.003     0.000     0.000     3196   BasicObject#!
  0.00      0.008     0.003     0.000     0.005     1723  *BinData::DSLMixin#dsl_parser
  0.00      0.011     0.003     0.000     0.008     1961  *BinData::AcceptedParametersPlugin#accepted_parameters
  0.00      0.003     0.003     0.000     0.000     6771   Kernel#nil?
  0.00      0.092     0.003     0.000     0.090      638  *BinData::SanitizedPrototype#initialize
  0.00      0.162     0.003     0.000     0.159      535   Gem::Specification#initialize
  0.00    122.769     0.003     0.000   122.766        2  *Kernel#load
  0.00      0.010     0.003     0.000     0.007     1812  *BinData::DSLMixin::DSLParser#fields
  0.00      0.003     0.002     0.000     0.000     1725   Hash#[]=
  0.00      0.002     0.002     0.000     0.000     6019   Hash#[]
  0.00      0.060     0.002     0.000     0.058      771  *BinData::SanitizedParameters#initialize
  0.00      0.003     0.002     0.000     0.000     3434   Kernel#respond_to?
  0.00      0.010     0.002     0.000     0.008      519   Enumerable#sort_by
  0.00      0.004     0.002     0.000     0.002      953  *<Class::BinData::Base>#arg_processor
  0.00      0.002     0.002     0.000     0.000     3404   Gem::Dependency#type
  0.00      0.002     0.002     0.000     0.000     1508   String#to_s
  0.00      0.180     0.002     0.000     0.178     1002  *BinData::DSLMixin#method_missing
  0.00      0.006     0.002     0.000     0.004     2461   BinData::SanitizedField#name_as_sym
  0.00      0.032     0.002     0.000     0.030      566  *Enumerable#find
